id,name,measurement_unit
4,абрикосовое варенье,г
5,абрикосовое пюре,г
6,абрикосовый джем,г
7,абрикосовый сок,стакан
8,абрикосы,г
9,абрикосы консервированные,г
10,авокадо,по вкусу
11,агава сироп,г
12,агар-агар,г
13,аграм,г
14,аджика,г
15,аджика зеленая,г
16,айва,по вкусу
17,айвовое пюре,г
18,айран,г
19,айсинг,г
20,акула стейки,г
21,алкоголь,стакан
22,алкоголь крепкий,ст. л.
23,алыча,г
24,альбухара,шт.
25,альмехи,г
26,амарантовая мука,г
27,ананасовый сироп,г
28,ананасовый сок,г
29,ананасы,г
30,ананасы вяленые,г
31,ананасы консервированные,по вкусу
32,анис,по вкусу
33,анис звездочки,г
34,анисовый ликер,мл
35,анис семена,г
36,анчоусы,г
37,апельсиновая вода,г
38,апельсиновая цедра,г
39,апельсиновая эссенция,ч. л.
40,апельсиновое варенье,г
41,апельсиновые цукаты,г
42,апельсиновый джем,г
43,апельсиновый джем с имбирем,г
44,апельсиновый ликер,г
45,апельсиновый сироп,стакан
46,апельсиновый сок,по вкусу
47,апельсиновый сок свежевыжатый,г
48,апельсиновый уксус,ст. л.
49,апельсиновый экстракт,ч. л.
50,апельсины,г
51,апельсины красные,шт.
52,апельсины крупные,шт.
53,арахис,г
54,арахис жареный,г
55,арахисовая паста,г
56,арахисовое масло,г
57,арахис соленый,г
58,арбузная мякоть,г
59,арбузы,г
60,аргановое масло,г
61,аришта,г
62,ароматизатор,г
63,"ароматизатор ""ананас""",по вкусу
64,"ароматизатор ""вишня""",капля
65,"ароматизатор ""малина""",капля
66,"ароматизатор ""ром""",г
67,артишоки,г
68,артишоки в масле,г
69,артишоки маринованные,г
70,аспирин,шт.
71,ассорти мясное,г
72,ассорти овощное,г
73,ассорти фруктовое,г
74,ассорти ягодное,г
75,аши,г
76,багет,г
77,багет вчерашний,г
78,багет мини,г
79,бадан,звездочка
80,бадьян,щепотка
81,базилик лимонный,г
82,базилик свежий,г
83,базилик сушеный,г
84,базилик тайский,горсть
85,базилик фиолетовый,г
86,баклажаны,по вкусу
87,баклажаны мини,г
88,баклажаны тайские,г
89,балык,г
90,бальзам,г
91,бальзамический крем,стакан
92,бальзамический соус,ст. л.
93,бальзамический уксус,стакан
94,бальзам рижский черный,ст. л.
95,бамия,г
96,банановое пюре,г
97,банановые чипсы,горсть
98,банановый зеленый сироп,мл
99,банановый ликер,мл
100,бананы,г
101,бананы мини,г
102,барабулька,г
103,бараний ливер,г
104,бараний окорок на косточке,кусок
105,бараний фарш,г
106,баранина,г
107,баранки,г
108,бараньи антрекоты,кг
109,бараньи голяшки,шт.
110,бараньи потроха,кг
111,бараньи ребрышки,шт.
112,баранья лопатка,кг
113,баранья нога,г
114,баранья печень,г
115,барбарис,г
116,барбарис вяленый,ст. л.
117,барбарис молотый,г
118,бастурма,г
119,батат,г
120,батон,г
121,батончики шоколадные,г
122,безе,г
123,бекон,по вкусу
124,бекон варено-копченый,г
125,бекон сырокопченый,г
126,белорыбица,г
127,бирнель,мл
128,бисквик смесь готовая,пакет
129,бисквит,г
130,бисквитная крошка,г
131,бисквитный корж,г
132,бисквитный рулет,г
133,бисквит шоколадный,г
134,бифштекс,шт.
135,блинная мука,г
136,блины готовые,г
137,блины овсяные,шт.
138,бобовые ростки,г
139,бобы,г
140,бобы мунг пророщенные,г
141,бобы тонка,шт.
142,ботарга,г
143,брезаола,г
144,бренди,г
145,брокколи замороженная,г
146,брокколи свежая,г
147,брусника замороженная,г
148,брусника свежая,г
149,брусника сушеная,г
150,брусничное варенье,г
151,брусничный соус,г
152,брынза,по вкусу
153,брынза сербская,г
154,брюква,г
155,буженина,г
156,бузина сироп,ст. л.
157,букет гарни,пучок
158,булгур,г
159,булка,кусок
160,булка белая,г
161,булка сдобная,г
162,булочки,г
163,булочки белые черствые,г
164,булочки бриошь,шт.
165,булочки вчерашние,шт.
166,булочки для гамбургеров,шт.
167,булочки зерновые,шт.
168,булочки ржаные,кусок
169,булочки с кунжутом,шт.
170,бульон,г
171,бульонные кубики,г
172,бурбон,г
173,Буррата,г
174,буряк,г
175,бусинки кондитерские,ч. л.
176,бусинки кондитерские серебряные,по вкусу
177,бычий хвост,г
178,ванилин,г
179,ваниль в стручках,г
180,ванильная настойка,ст. л.
181,ванильная эссенция,г
182,ванильный порошок,г
183,ванильный сироп,г
184,ванильный экстракт,по вкусу
185,варенье,г
186,васаби,г
187,вафельная крошка,г
188,вафельные коржи,г
189,вафельные трубочки,г
190,вафли,г
191,вафли шоколадные,г
